block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
53842000,1788482095,2026-09-04T00:34:55Z,13,3543548,0,122178,3
53854000,1788483305,2026-09-04T00:55:05Z,20,5743785,0,30169,1
53866000,1788484515,2026-09-04T01:15:15Z,30,6026687,11944,2883000,16
53878000,1788485728,2026-09-04T01:35:28Z,22,7247800,0,71084,1
53890000,1788486939,2026-09-04T01:55:39Z,15,4188672,0,579276,4
53902000,1788488149,2026-09-04T02:15:49Z,11,3728432,6014,54015,1
53914000,1788489360,2026-09-04T02:36:00Z,8,1236284,0,0,0
53926000,1788490571,2026-09-04T02:56:11Z,11,4099457,0,0,0
53938000,1788491783,2026-09-04T03:16:23Z,40,6694318,0,3322986,30
53950000,1788493004,2026-09-04T03:36:44Z,11,4472176,0,818276,1
53962000,1788494222,2026-09-04T03:57:02Z,12,3189628,0,0,0
53974000,1788495436,2026-09-04T04:17:16Z,23,5863236,0,52724,1
53986000,1788496651,2026-09-04T04:37:31Z,23,12124789,0,86858,1
53998000,1788497865,2026-09-04T04:57:45Z,9,2316345,0,0,0
54010000,1788499075,2026-09-04T05:17:55Z,26,8588466,0,472175,6
54022000,1788500289,2026-09-04T05:38:09Z,18,5486394,0,0,0
54034000,1788501503,2026-09-04T05:58:23Z,38,9402111,0,137291,2
54046000,1788502718,2026-09-04T06:18:38Z,18,5150016,0,0,0
54058000,1788503938,2026-09-04T06:38:58Z,12,6557545,0,0,0
54070000,1788505156,2026-09-04T06:59:16Z,28,12066819,0,305979,7
54082000,1788506369,2026-09-04T07:19:29Z,17,5307055,0,207311,3
54094000,1788507584,2026-09-04T07:39:44Z,19,4674611,0,221329,3
54106000,1788508802,2026-09-04T08:00:02Z,31,16495205,0,1887241,3
54118000,1788510019,2026-09-04T08:20:19Z,11,5354755,0,1409547,2
54130000,1788511234,2026-09-04T08:40:34Z,10,2063180,0,0,0
54142000,1788512449,2026-09-04T09:00:49Z,26,8508032,0,1941107,10
54154000,1788513662,2026-09-04T09:21:02Z,17,3445817,0,403178,6
54166000,1788514874,2026-09-04T09:41:14Z,8,3210349,0,0,0
54178000,1788516087,2026-09-04T10:01:27Z,6,869415,2577,0,0
54190000,1788517300,2026-09-04T10:21:40Z,15,5320760,0,0,0
54202000,1788518512,2026-09-04T10:41:52Z,9,1794481,0,0,0
54214000,1788519725,2026-09-04T11:02:05Z,4,344957,0,0,0
54226000,1788520937,2026-09-04T11:22:17Z,13,2798708,0,264126,3
54238000,1788522152,2026-09-04T11:42:32Z,14,4343047,0,1326504,1
54250000,1788523366,2026-09-04T12:02:46Z,13,10298792,0,0,0
54262000,1788524581,2026-09-04T12:23:01Z,23,8209733,2593,1210046,4
54274000,1788525801,2026-09-04T12:43:21Z,21,5959906,0,957061,3
54286000,1788527014,2026-09-04T13:03:34Z,7,1506087,0,0,0
54298000,1788528222,2026-09-04T13:23:42Z,22,3829083,0,254029,5
54310000,1788529435,2026-09-04T13:43:55Z,31,9242486,0,466391,1
54322000,1788530649,2026-09-04T14:04:09Z,34,6310580,0,1265440,7
54334000,1788531867,2026-09-04T14:24:27Z,42,13680795,0,1412040,19
54346000,1788533081,2026-09-04T14:44:41Z,29,5437266,0,1426797,13
54358000,1788534296,2026-09-04T15:04:56Z,20,4723178,0,831242,6
54370000,1788535509,2026-09-04T15:25:09Z,8,1079641,0,126977,3
