l1_timestamp,l1_time_utc,posting_delay_newest_s,selector
1788646415,2026-09-05T22:13:35Z,42,0x3e5aa082
1788647615,2026-09-05T22:33:35Z,59,0x3e5aa082
1788648815,2026-09-05T22:53:35Z,19,0x3e5aa082
1788650027,2026-09-05T23:13:47Z,24,0x3e5aa082
1788651227,2026-09-05T23:33:47Z,21,0x3e5aa082
1788652427,2026-09-05T23:53:47Z,41,0x3e5aa082
1788653627,2026-09-06T00:13:47Z,77,0x3e5aa082
1788654839,2026-09-06T00:33:59Z,44,0x3e5aa082
1788656051,2026-09-06T00:54:11Z,26,0x3e5aa082
1788657251,2026-09-06T01:14:11Z,27,0x3e5aa082
1788658451,2026-09-06T01:34:11Z,24,0x3e5aa082
1788659651,2026-09-06T01:54:11Z,20,0x3e5aa082
1788660863,2026-09-06T02:14:23Z,29,0x3e5aa082
1788662075,2026-09-06T02:34:35Z,22,0x3e5aa082
1788663275,2026-09-06T02:54:35Z,20,0x3e5aa082
1788664487,2026-09-06T03:14:47Z,24,0x3e5aa082
1788665699,2026-09-06T03:34:59Z,22,0x3e5aa082
1788666911,2026-09-06T03:55:11Z,24,0x3e5aa082
1788668111,2026-09-06T04:15:11Z,16,0x3e5aa082
1788669311,2026-09-06T04:35:11Z,28,0x3e5aa082
1788670511,2026-09-06T04:55:11Z,30,0x3e5aa082
1788671711,2026-09-06T05:15:11Z,21,0x3e5aa082
1788672911,2026-09-06T05:35:11Z,21,0x3e5aa082
1788674123,2026-09-06T05:55:23Z,27,0x3e5aa082
1788675335,2026-09-06T06:15:35Z,29,0x3e5aa082
1788676547,2026-09-06T06:35:47Z,16,0x3e5aa082
1788677759,2026-09-06T06:55:59Z,20,0x3e5aa082
1788678983,2026-09-06T07:16:23Z,25,0x3e5aa082
1788680195,2026-09-06T07:36:35Z,18,0x3e5aa082
1788681395,2026-09-06T07:56:35Z,25,0x3e5aa082
1788682595,2026-09-06T08:16:35Z,12,0x3e5aa082
1788683795,2026-09-06T08:36:35Z,25,0x917cf8ac
1788684995,2026-09-06T08:56:35Z,17,0x3e5aa082
1788686219,2026-09-06T09:16:59Z,16,0x3e5aa082
1788687419,2026-09-06T09:36:59Z,22,0x3e5aa082
1788688619,2026-09-06T09:56:59Z,22,0x3e5aa082
1788689843,2026-09-06T10:17:23Z,29,0x3e5aa082
1788691043,2026-09-06T10:37:23Z,16,0x3e5aa082
1788692255,2026-09-06T10:57:35Z,18,0x3e5aa082
1788693455,2026-09-06T11:17:35Z,14,0x3e5aa082
1788694667,2026-09-06T11:37:47Z,21,0x3e5aa082
1788695879,2026-09-06T11:57:59Z,16,0x3e5aa082
1788697079,2026-09-06T12:17:59Z,17,0x3e5aa082
1788698291,2026-09-06T12:38:11Z,46,0x3e5aa082
1788699491,2026-09-06T12:58:11Z,13,0x3e5aa082
1788700691,2026-09-06T13:18:11Z,19,0x3e5aa082
1788701903,2026-09-06T13:38:23Z,25,0x3e5aa082
1788703103,2026-09-06T13:58:23Z,28,0x3e5aa082
1788704303,2026-09-06T14:18:23Z,21,0x3e5aa082
1788705515,2026-09-06T14:38:35Z,27,0x3e5aa082
1788706715,2026-09-06T14:58:35Z,24,0x3e5aa082
1788707915,2026-09-06T15:18:35Z,37,0x3e5aa082
1788709127,2026-09-06T15:38:47Z,23,0x3e5aa082
1788710327,2026-09-06T15:58:47Z,24,0x3e5aa082
1788711527,2026-09-06T16:18:47Z,18,0x3e5aa082
1788712739,2026-09-06T16:38:59Z,19,0x3e5aa082
1788713939,2026-09-06T16:58:59Z,16,0x3e5aa082
1788715151,2026-09-06T17:19:11Z,28,0x3e5aa082
1788716351,2026-09-06T17:39:11Z,35,0x3e5aa082
1788717551,2026-09-06T17:59:11Z,19,0x3e5aa082
1788718751,2026-09-06T18:19:11Z,23,0x3e5aa082
1788719951,2026-09-06T18:39:11Z,18,0x3e5aa082
1788721163,2026-09-06T18:59:23Z,25,0x3e5aa082
1788722363,2026-09-06T19:19:23Z,16,0x3e5aa082
1788723563,2026-09-06T19:39:23Z,41,0x3e5aa082
1788724763,2026-09-06T19:59:23Z,62,0x3e5aa082
1788725963,2026-09-06T20:19:23Z,22,0x3e5aa082
1788727163,2026-09-06T20:39:23Z,24,0x3e5aa082
1788728375,2026-09-06T20:59:35Z,27,0x3e5aa082
1788729575,2026-09-06T21:19:35Z,18,0x3e5aa082
1788730787,2026-09-06T21:39:47Z,19,0x3e5aa082
1788731999,2026-09-06T21:59:59Z,24,0x3e5aa082
1788733199,2026-09-06T22:19:59Z,30,0x3e5aa082
1788734399,2026-09-06T22:39:59Z,23,0x3e5aa082
1788735599,2026-09-06T22:59:59Z,23,0x3e5aa082
1788736811,2026-09-06T23:20:11Z,25,0x3e5aa082
1788738023,2026-09-06T23:40:23Z,26,0x3e5aa082
1788739235,2026-09-07T00:00:35Z,29,0x3e5aa082
1788740435,2026-09-07T00:20:35Z,25,0x3e5aa082
1788741635,2026-09-07T00:40:35Z,24,0x3e5aa082
