l1_timestamp,l1_time_utc,posting_delay_newest_s,messages_in_batch,batch_sequence,max_fee_per_blob_gas_wei,max_fee_per_gas_wei,blobs,nonce
1788542327,2026-09-04T17:18:47Z,267,147,192189,66855220,1091803740,3,
1788542447,2026-09-04T17:20:47Z,241,142,192201,57999930,985516470,3,
1788542603,2026-09-04T17:23:23Z,299,117,192209,65616900,1010229670,3,
1788542723,2026-09-04T17:25:23Z,267,89,192222,60888850,1202723640,3,
1788542867,2026-09-04T17:27:47Z,312,142,192230,79699900,1272543620,3,
1788542999,2026-09-04T17:29:59Z,278,121,192242,79402420,1347912390,3,
1788543119,2026-09-04T17:31:59Z,291,162,192251,90504420,1468111770,3,
1788543239,2026-09-04T17:33:59Z,265,116,192264,66605610,1219437590,3,
1788543359,2026-09-04T17:35:59Z,241,135,192281,63921650,1048022590,3,
1788543491,2026-09-04T17:38:11Z,228,139,192293,59984880,892490200,3,
1788543611,2026-09-04T17:40:11Z,242,122,192301,54427780,892433350,3,
1788543743,2026-09-04T17:42:23Z,276,100,192309,52234530,1020809960,3,
1788543863,2026-09-04T17:44:23Z,286,110,192318,63921600,1123334360,3,
1788543983,2026-09-04T17:46:23Z,267,112,192330,51267020,869320430,3,
1788544103,2026-09-04T17:48:23Z,251,110,192343,50885040,744793820,3,
1788544223,2026-09-04T17:50:23Z,252,136,192352,49570450,773933750,3,
1788544343,2026-09-04T17:52:23Z,269,109,192360,46343930,735684920,3,
1788544487,2026-09-04T17:54:47Z,312,116,192368,53419590,936698220,3,
1788544619,2026-09-04T17:56:59Z,288,117,192381,51075640,927405180,3,
1788544739,2026-09-04T17:58:59Z,271,131,192392,52823680,869316410,3,
1788544883,2026-09-04T18:01:23Z,283,131,192403,53220190,894076120,3,
1788545015,2026-09-04T18:03:35Z,290,136,192412,54836200,960909620,3,
1788545147,2026-09-04T18:05:47Z,311,125,192420,61806170,1093871190,3,
1788545267,2026-09-04T18:07:47Z,309,127,192429,66605420,1045533080,3,
1788545399,2026-09-04T18:09:59Z,307,135,192440,61806150,1106518980,3,
1788545519,2026-09-04T18:11:59Z,289,149,192450,55041600,875945120,3,
1788545651,2026-09-04T18:14:11Z,305,100,192458,51266900,821621740,3,
1788545783,2026-09-04T18:16:23Z,309,123,192468,46691710,765141620,3,
1788545903,2026-09-04T18:18:23Z,285,135,192480,45655840,764040130,3,
1788546035,2026-09-04T18:20:35Z,277,137,192491,49385330,829395580,3,
1788546167,2026-09-04T18:22:47Z,288,141,192500,55041560,942319760,3,
1788546287,2026-09-04T18:24:47Z,296,127,192508,51266870,861933170,3,
1788546407,2026-09-04T18:26:47Z,297,135,192517,46343800,771175720,3,
1788546527,2026-09-04T18:28:47Z,313,124,192525,36754490,668521850,3,
1788546647,2026-09-04T18:30:47Z,271,140,192539,39460650,693646480,3,
1788546779,2026-09-04T18:32:59Z,268,126,192550,45655800,821807680,3,
1788546899,2026-09-04T18:34:59Z,277,102,192560,41271560,659007130,3,
1788547031,2026-09-04T18:37:11Z,272,124,192571,39460630,716833180,3,
1788547151,2026-09-04T18:39:11Z,267,137,192580,38012380,694580860,3,
1788547283,2026-09-04T18:41:23Z,291,133,192588,40811160,707219030,3,
1788547415,2026-09-04T18:43:35Z,306,137,192597,42524740,706785810,3,
1788547547,2026-09-04T18:45:47Z,319,148,192605,51075440,915549030,3,
1788547679,2026-09-04T18:47:59Z,337,133,192613,55662340,855496920,3,
1788547799,2026-09-04T18:49:59Z,309,149,192624,37588320,704247990,3,
1788547919,2026-09-04T18:51:59Z,305,150,192633,42050340,765578910,3,
1788548051,2026-09-04T18:54:11Z,291,176,192642,41581280,728189130,3,
1788548183,2026-09-04T18:56:23Z,299,137,192651,36344410,667569490,3,
1788548315,2026-09-04T18:58:35Z,309,146,192659,34233820,677146040,3,
