day,block,timestamp,time_utc,gas_used,user_tx_count
2026-09-03,53362960,1788432943,2026-09-03T10:55:43Z,1112803,3
2026-09-03,53362990,1788432946,2026-09-03T10:55:46Z,499917,1
2026-09-03,53363020,1788432949,2026-09-03T10:55:49Z,343878,1
2026-09-03,53363050,1788432952,2026-09-03T10:55:52Z,438421,2
2026-09-03,53363080,1788432955,2026-09-03T10:55:55Z,2939459,9
2026-09-03,53363110,1788432958,2026-09-03T10:55:58Z,386925,3
2026-09-03,53363140,1788432961,2026-09-03T10:56:01Z,509731,3
2026-09-03,53363170,1788432964,2026-09-03T10:56:04Z,1357701,8
2026-09-03,53363200,1788432968,2026-09-03T10:56:08Z,29027,1
2026-09-03,53363230,1788432971,2026-09-03T10:56:11Z,2198889,7
2026-09-03,53363260,1788432974,2026-09-03T10:56:14Z,1330741,4
2026-09-03,53363290,1788432977,2026-09-03T10:56:17Z,1740395,6
2026-09-03,53363320,1788432980,2026-09-03T10:56:20Z,815241,4
2026-09-03,53363350,1788432983,2026-09-03T10:56:23Z,2419094,7
2026-09-03,53363380,1788432986,2026-09-03T10:56:26Z,948984,6
2026-09-03,53363410,1788432989,2026-09-03T10:56:29Z,4144970,16
2026-09-03,53363440,1788432992,2026-09-03T10:56:32Z,1676234,5
2026-09-03,53363470,1788432995,2026-09-03T10:56:35Z,4585575,10
2026-09-03,53363500,1788432998,2026-09-03T10:56:38Z,2223252,5
2026-09-03,53363530,1788433000,2026-09-03T10:56:40Z,2157106,4
2026-09-03,53363560,1788433003,2026-09-03T10:56:43Z,3571430,8
2026-09-03,53363590,1788433006,2026-09-03T10:56:46Z,1941925,12
2026-09-03,53363620,1788433009,2026-09-03T10:56:49Z,3776914,7
2026-09-03,53363650,1788433012,2026-09-03T10:56:52Z,1289996,7
2026-09-03,53363680,1788433015,2026-09-03T10:56:55Z,1036347,3
2026-09-03,53363710,1788433018,2026-09-03T10:56:58Z,791844,2
2026-09-03,53363740,1788433021,2026-09-03T10:57:01Z,1633679,4
2026-09-03,53363770,1788433025,2026-09-03T10:57:05Z,180144,2
2026-09-03,53363800,1788433028,2026-09-03T10:57:08Z,2927967,4
2026-09-03,53363830,1788433031,2026-09-03T10:57:11Z,151631,1
